01/04/25	Despesa	Tecido	Produção	Textil Mn Comercio De Tecidos E Confeccoes Ltda	-R$ 3.374,50	 R$ 3.374,50 	 Elma 
03/04/25	Despesa	Costureira	Produção	Elma De Barros Guimaraes Silva	-R$ 500,00	 R$ 500,00 	 Elma 
03/04/25	Despesa	Costureira	Produção	Elma De Barros Guimaraes Silva	-R$ 1.782,00	 R$ 1.782,00 	 Elma 
04/04/25	Receita	Pagamentos	Recebimentos	POLIMIX CONCRETO LTDA.	R$ 3.355,80	 R$ 3.355,80 	 Elma 
04/04/25	Receita	Pagamentos	Recebimentos	POLIMIX CONCRETO LTDA.	R$ 3.355,80	 R$ 3.355,80 	 Elma 
07/04/25	Despesa	Bordado	Produção	Amjo Bordados	-R$ 404,80	 R$ 404,80 	 Elma 
11/04/25	Despesa	Tecido	Produção	Quatro K Textil Ltda	-R$ 4.693,85	 R$ 4.693,85 	 Elma 
14/04/25	Despesa	Contabilidade	Financeiro	Receita Federal	-R$ 491,40	 R$ 491,40 	 Elma 
14/04/25	Despesa	Contabilidade	Financeiro	Receita Federal	-R$ 491,40	 R$ 491,40 	 Elma 
25/04/25	Receita	Pagamentos	Recebimentos	POLIMIX CONCRETO LTDA	R$ 798,00	 R$ 798,00 	 Elma 
30/04/25	Receita	Pagamentos	Recebimentos	POLIMIX CONCRETO LTDA	R$ 1.775,20	 R$ 1.775,20 	 Elma 
30/04/25	Receita	Pagamentos	Recebimentos	POLIMIX CONCRETO LTDA	R$ 1.300,00	 R$ 1.300,00 	 Elma 
30/04/25	Despesa	Tecido	Produção	Safe2pay Instituicao De Pagamento Ltda	-R$ 180,00	 R$ 180,00 	 Elma 
05/05/25	Despesa	Costureira	Produção	Elma De Barros Guimaraes Silva	-R$ 4.217,00	 R$ 4.217,00 	 Elma 
06/05/25	Despesa	Tecido	Produção	Textil Mn Comercio De Tecidos E Confeccoes Ltda	-R$ 2.150,00	 R$ 2.150,00 	 Elma 
15/05/25	Despesa	Outros	Outros	Shpp Brasil Instituicao De Pag	-R$ 55,96	 R$ 55,96 	 Elma 
20/05/25	Despesa	Bordado	Produção	Amjo Bordados	-R$ 288,30	 R$ 288,30 	 Elma 
23/05/25	Receita	Pagamentos	Recebimentos	Polimix Concreto Ltda	R$ 510,00	 R$ 510,00 	 Elma 
25/05/25	Despesa	Outros	Outros	Yapay Pagamentos Online Ltda	-R$ 326,36	 R$ 326,36 	 Elma 
26/05/25	Despesa	Bordado	Produção	Amjo Bordados	-R$ 528,00	 R$ 528,00 	 Elma 
02/06/25	Despesa	Equipamento	Estrutura	Carlos Antonio Da Silva	-R$ 200,00	 R$ 200,00 	 Elma 
02/06/25	Receita	Pagamentos	Recebimentos	Polimix Concreto Ltda	R$ 1.620,00	 R$ 1.620,00 	 Elma 
06/06/25	Despesa	Costureira	Produção	Elma De Barros Guimaraes Silva	-R$ 2.614,00	 R$ 2.614,00 	 Elma 
11/06/25	Despesa	Tecido	Produção	Textil Mn Comercio De Tecidos E Confeccoes Ltda	-R$ 2.339,50	 R$ 2.339,50 	 Elma 
20/06/25	Despesa	Tecido	Produção	Mg Comercio Atacadista...	-R$ 875,00	 R$ 875,00 	 Elma 
20/06/25	Despesa	Outros	Outros	Pix Marketplace	-R$ 831,00	 R$ 831,00 	 Elma 
25/06/25	Despesa	Outros	Outros	Samia El Hafi	-R$ 105,00	 R$ 105,00 	 Elma 
26/06/25	Despesa	Outros	Outros	Pix Marketplace	-R$ 42,89	 R$ 42,89 	 Elma 
30/06/25	Despesa	Tecido	Produção	Quatro K Textil Ltda	-R$ 3.112,22	 R$ 3.112,22 	 Elma 
30/06/25	Receita	Pagamentos	Recebimentos	POLIMIX CONCRETO LTDA.	R$ 2.547,70	 R$ 2.547,70 	 Elma 
30/06/25	Receita	Pagamentos	Recebimentos	Polimix Concreto Ltda	R$ 8.206,00	 R$ 8.206,00 	 Elma 
01/07/25	Receita	Pagamentos	Recebimentos	Polimix Concreto Ltda	R$ 574,40	 R$ 574,40 	 Elma 
01/07/25	Receita	Pagamentos	Recebimentos	Polimix Concreto Ltda	R$ 2.092,90	 R$ 2.092,90 	 Elma 
02/07/25	Despesa	Costureira	Produção	Elma De Barros Guimaraes Silva	-R$ 400,00	 R$ 400,00 	 Elma 
02/07/25	Despesa	Costureira	Produção	Elma De Barros Guimaraes Silva	-R$ 2.968,00	 R$ 2.968,00 	 Elma 
02/07/25	Despesa	Bordado	Produção	Ribis Bordados E Confeccoes Ltda	-R$ 841,00	 R$ 841,00 	 Elma 
